# DAMF  Version 2.0
# Brechungsindex ueber Hoehe 
          0 	    1.00029 	
          1 	    1.00026 	
        1.5 	    1.00024 	
          2 	    1.00023 	
        2.5 	    1.00022 	
          3 	    1.00021 	
        3.5 	     1.0002 	
          4 	    1.00019 	
        4.5 	    1.00018 	
          5 	    1.00017 	
        5.5 	    1.00016 	
          6 	    1.00015 	
        6.5 	    1.00014 	
          7 	    1.00014 	
        7.5 	    1.00013 	
          8 	    1.00012 	
        8.5 	    1.00012 	
          9 	    1.00011 	
        9.5 	     1.0001 	
         10 	     1.0001 	
       10.5 	    1.00009 	
         11 	    1.00009 	
       11.5 	    1.00008 	
         12 	    1.00008 	
       12.5 	    1.00007 	
         13 	    1.00007 	
       13.5 	    1.00006 	
         14 	    1.00006 	
       14.5 	    1.00005 	
         15 	    1.00005 	
       15.5 	    1.00004 	
         16 	    1.00004 	
       16.5 	    1.00004 	
         17 	    1.00003 	
       17.5 	    1.00003 	
         18 	    1.00003 	
       18.5 	    1.00003 	
         19 	    1.00003 	
       19.5 	    1.00002 	
         20 	    1.00002 	
       20.5 	    1.00002 	
         21 	    1.00002 	
       21.5 	    1.00002 	
         22 	    1.00002 	
       22.5 	    1.00001 	
         23 	    1.00001 	
       23.5 	    1.00001 	
         24 	    1.00001 	
       24.5 	    1.00001 	
         25 	    1.00001 	
       25.5 	    1.00001 	
         26 	    1.00001 	
       26.5 	    1.00001 	
         27 	    1.00001 	
       27.5 	    1.00001 	
         28 	    1.00001 	
       28.5 	    1.00001 	
         29 	    1.00001 	
       29.5 	          1 	
         30 	          1 	
       30.5 	          1 	
         31 	          1 	
       31.5 	          1 	
         32 	          1 	
       32.5 	          1 	
         33 	          1 	
       33.5 	          1 	
         34 	          1 	
       34.5 	          1 	
         35 	          1 	
       35.5 	          1 	
         36 	          1 	
       36.5 	          1 	
         37 	          1 	
       37.5 	          1 	
         38 	          1 	
       38.5 	          1 	
         39 	          1 	
       39.5 	          1 	
         40 	          1 	
       40.5 	          1 	
         41 	          1 	
       41.5 	          1 	
         42 	          1 	
       42.5 	          1 	
         43 	          1 	
       43.5 	          1 	
         44 	          1 	
       44.5 	          1 	
         45 	          1 	
       45.5 	          1 	
         46 	          1 	
       46.5 	          1 	
         47 	          1 	
       47.5 	          1 	
         48 	          1 	
       48.5 	          1 	
         49 	          1 	
       49.5 	          1 	
         50 	          1 	
       50.5 	          1 	
         51 	          1 	
       51.5 	          1 	
         52 	          1 	
       52.5 	          1 	
         53 	          1 	
       53.5 	          1 	
         54 	          1 	
       54.5 	          1 	
         55 	          1 	
       55.5 	          1 	
         56 	          1 	
       56.5 	          1 	
         57 	          1 	
       57.5 	          1 	
         58 	          1 	
       58.5 	          1 	
         59 	          1 	
       59.5 	          1 	
         60 	          1 	
       60.5 	          1 	
         61 	          1 	
       61.5 	          1 	
         62 	          1 	
       62.5 	          1 	
         63 	          1 	
       63.5 	          1 	
         64 	          1 	
       64.5 	          1 	
         65 	          1 	
       65.5 	          1 	
         66 	          1 	
       66.5 	          1 	
         67 	          1 	
       67.5 	          1 	
         68 	          1 	
       68.5 	          1 	
         69 	          1 	
       69.5 	          1 	
         70 	          1 	
       70.5 	          1 	
         71 	          1 	
       71.5 	          1 	
         72 	          1 	
       72.5 	          1 	
         73 	          1 	
       73.5 	          1 	
         74 	          1 	
       74.5 	          1 	
         75 	          1 	
       75.5 	          1 	
         76 	          1 	
       76.5 	          1 	
         77 	          1 	
       77.5 	          1 	
         78 	          1 	
       78.5 	          1 	
         79 	          1 	
       79.5 	          1 	
         80 	          1 	
       80.5 	          1 	
         81 	          1 	
       81.5 	          1 	
         82 	          1 	
       82.5 	          1 	
         83 	          1 	
       83.5 	          1 	
         84 	          1 	
       84.5 	          1 	
         85 	          1 	
       85.5 	          1 	
         86 	          1 	
       86.5 	          1 	
         87 	          1 	
       87.5 	          1 	
         88 	          1 	
       88.5 	          1 	
         89 	          1 	
       89.5 	          1 	
         90 	          1 	
       90.5 	          1 	
         91 	          1 	
       91.5 	          1 	
         92 	          1 	
       92.5 	          1 	
         93 	          1 	
       93.5 	          1 	
         94 	          1 	
       94.5 	          1 	
         95 	          1 	
       95.5 	          1 	
         96 	          1 	
       96.5 	          1 	
         97 	          1 	
       97.5 	          1 	
         98 	          1 	
       98.5 	          1 	
         99 	          1 	
       99.5 	          1 	
        100 	          1 	
      100.5 	          1 	
        101 	          1 	
      101.5 	          1 	
        102 	          1 	
      102.5 	          1 	
        103 	          1 	
      103.5 	          1 	
        104 	          1 	
      104.5 	          1 	
        105 	          1 	
      105.5 	          1 	
        106 	          1 	
      106.5 	          1 	
        107 	          1 	
      107.5 	          1 	
        108 	          1 	
      108.5 	          1 	
        109 	          1 	
      109.5 	          1 	
        110 	          1 	
      110.5 	          1 	
        111 	          1 	
      111.5 	          1 	
        112 	          1 	
      112.5 	          1 	
        113 	          1 	
      113.5 	          1 	
        114 	          1 	
      114.5 	          1 	
        115 	          1 	
      115.5 	          1 	
        116 	          1 	
      116.5 	          1 	
        117 	          1 	
      117.5 	          1 	
        118 	          1 	
      118.5 	          1 	
        119 	          1 	
      119.5 	          1 	
        120 	          1 	
